小区名称,均价,在售套数,所在区,所在街道,经度,纬度
"
西湖八号公馆
",122515,0,上城,清波,120.1678865201603,30.24459009832104
"
南都花园别墅
",119951,1,西湖,文一西路,120.10986281133759,30.297571938843024
"
广宇吴山鸣翠苑
",119925,0,上城,清波,120.1675946607001,30.241194016558477
"
嘉禾苑
",119791,0,上城,清波,120.16972427357261,30.249466942042684
"
蔡官巷公寓
",119254,2,上城,清波,120.16646252626587,30.24148815593561
"
闻潮一品公寓
",118707,0,上城,南星,120.1940142749013,30.233457543111257
"
丹金桂花园
",118245,0,西湖,文三西路,120.11194014282941,30.282268819147156
"
凤起潮鸣府
",117990,9,拱墅,潮鸣,120.19371208492775,30.268561393482095
"
西子公寓
",116278,2,拱墅,武林,120.16498678997408,30.26653626983461
"
小河东河下
",116185,2,拱墅,桥西,120.14298396430434,30.31345059195395
"
上品华庭
",116022,14,上城,南星,120.1919480823978,30.235185141817688
"
武林壹号
",114726,4,拱墅,湖墅,120.16489812722025,30.283929981244107
"
观湖里
",114647,10,萧山,闻堰,120.20059795598392,30.123378212153547
"
绿城九龙仓柳岸晓风
",114055,4,滨江,长河,120.18621590510809,30.204177232280653
"
小河东河下58号
",113910,2,拱墅,桥西,120.14298396430434,30.31345059195395
"
滨江钱塘印象
",112811,9,上城,南星,120.19378323072414,30.22883935983167
"
保亿绿城奥邸国际
",110719,68,萧山,奥体,120.2432884880568,30.24063826152927
"
东方润园
",110596,10,上城,钱江新城,120.22832631148262,30.25965700664794
"
钱江候潮府
",110008,12,上城,南星,120.19109325487452,30.230454083409022
"
马塍路19号
",109567,1,西湖,文三,120.15388597963452,30.283391077363227
"
滨江保利翡翠海岸
",109246,33,上城,近江,120.20159444628617,30.24404255250184
"
海潮望月城
",108995,10,上城,四季青,120.1916650263316,30.245765595466924
"
润和山庄
",108808,1,西湖,之江,120.0865949918487,30.175959087808213
"
云桂花园
",108374,0,西湖,文三西路,120.10445141894549,30.281015249030823
"
仁滨公寓
",107708,0,上城,南星,120.19239696566115,30.23185909501573
"
凤起钱潮
",107631,14,上城,景芳,120.22185285248608,30.27208868849653
"
臻奥院
",106360,148,滨江,奥体,120.23967199990419,30.22859807341026
"
湘湖壹号
",105567,2,萧山,闻堰,120.2005397457869,30.12639348266852
"
金色海岸
",105412,8,上城,南星,120.16654292460902,30.210270961695358
"
绿城蓝色钱江
",104777,34,上城,南星,120.20219658046949,30.229946320908155
"
绿城西溪云庐
",104429,17,西湖,西溪,120.15605664506884,30.28108347148038
"
麒麟山庄
",103580,3,临安,临安,119.73151737122271,30.239805598053564
"
融创滨江御潮府
",102930,13,上城,望江,120.18766945325378,30.241500245973192
"
万科大都会79号
",102888,13,上城,钱江新城,120.23682850364291,30.272778849008258
